Lost And Found[58],2008. 09. 23.
Growing Up,2009. 04. 23.
IU...IM,2009. 11. 12.
ÀÜ¼Ò¸®(With 2AM ½½¿Ë),2010. 06. 03.
Real,2010. 12. 09.
Real+,2011. 02. 17.
Last Fantasy,2011. 11. 29.
I ¡à U,2011. 12. 04.
Good Day,2012. 03. 21.
½º¹« »ìÀÇ º½,2012. 05. 11.
You & I,2012. 07. 18.
Can You Hear Me?,2013. 03. 20.
Monday Afternoon,2013. 09. 11.
Modern Times,2013. 10. 08.
Modern Times Epilogue,2013. 12. 20.
º½ »ç¶û º¢²É ¸»°í,2014. 04. 08.
²É°¥ÇÇ,2014. 05. 16.
¼Ò°Ýµ¿,2014. 10. 02.
¸¶À½,2015. 05. 18.
CHAT-SHIRE,2015. 10. 23.
Palette,2017. 04. 21.
²É°¥ÇÇ µÑ,2017. 9. 22.
